"cluster_id_entity","usample","channel","depth_top_cm","depth_mid_cm","depth_bot_cm","thick_cm","age_mid_cal_yr_bp","age_top_cal_yr_bp","age_bot_cal_yr_bp","age_source","NAME","ELEMENT","size_min_um","size_max_um","size_min_open","size_max_open","UNITS","CONTEXT","context_source","TAPHONOMY","GROUP","value","value_orig","value_conversion","value_source_column","sample_quantity_value","sample_quantity_ELEMENT","sample_quantity_UNITS","data_source","data_entity","original_fire_proxy","original_meas_type","original_meas_detail","original_meas_method","original_proxy_class","original_quant_units","original_quant_units_raw","parsed_size_token","parsed_unit_token","depth_source","depth_repair_method","n_db_contrib","db_contrib","vocab_flags","entity_name","lat_dd_north","lon_dd_east","elev_m","hemisphere","country_entity","location_desc","depo_context","cluster_id","pubtypeid","year","citation","articletitle","journal","volume","issue","pages","citationnumber","doi","booktitle","numvolumes","edition","volumetitle","seriestitle","seriesvolume","publisher","url_pub","city","state","country","originallanguage","notes_pub","pub_source","cluster_id_geo","db_geo","source_entity","date_id","depth_cm_geo","depth_orig_geo","depth_unit_geo","thick_cm_geo","date_type","material","age_14C","error","cal_age_geo","cal_curve","lab_number","included","exclude_reason","notes_geo","datasetname","controlled_units","controlled_element","X","X.1","X.2","age_geo","chroncontrol_limityounger","chroncontrol_limitolder","chroncontrol_age","chroncontrol_depth","chroncontrol_thickness","chroncontrol_comments","chronology_notes_full","controlled_dep","neotoma_geochrontype","neotoma_chroncontroltypes","ageboundyounger","ageboundolder","agetype","datasettype","datasetnotes_full","samplenotes_full"
"493",29,"charcoal | <150um num",NA,118,NA,NA,168.38,NA,NA,"GCDv4","Charcoal (sum)","<150 µm",NA,150,"True","False","number","Macroscopic charcoal (sieved)","direct",NA,"CHAR",100,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",835,"charcoal","count","unspec","wet_sieve","particle","<150um num",NA,"<150um","num","RPDv1b","measured",2,"GCDv4|RPDv1b",NA,"Pie de Gigante core 1",11.38,-86.03,NA,"north",NA,NA,"unspec",445,1,2005,"Hope, G.S., Macphail, M., Keaney, B., 2005. Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory. Unpublished report to Environment ACT and Ecowise Services.","Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory","Unpublished report to Environment ACT and Ecowise Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:760",493,"RPDv1b",835,5176,2,2,"cm",NA,"AMS",-777777,475,20,NA,NA,"UCIAMS - 65717",NA,NA,NA,"Pie de Gigante core 1_SIEVED","counted","NaN-150",NA,NA,"",475,NA,NA,NA,NA,NA,NA,". Cal curve: NA. Source DB: RPDv1b","","Carbon-14",NA,-64.01,2174.76,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: GCDv4|RPDv1b","Sample Age Source: GCDv4"
"493",30,"charcoal | <150um num",NA,122,NA,NA,184.15,NA,NA,"GCDv4","Charcoal (sum)","<150 µm",NA,150,"True","False","number","Macroscopic charcoal (sieved)","direct",NA,"CHAR",70,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",835,"charcoal","count","unspec","wet_sieve","particle","<150um num",NA,"<150um","num","RPDv1b","measured",2,"GCDv4|RPDv1b",NA,"Pie de Gigante core 1",11.38,-86.03,NA,"north",NA,NA,"unspec",445,1,2005,"Hope, G.S., Macphail, M., Keaney, B., 2005. Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory. Unpublished report to Environment ACT and Ecowise Services.","Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory","Unpublished report to Environment ACT and Ecowise Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:760",493,"RPDv1b",835,5176,2,2,"cm",NA,"AMS",-777777,475,20,NA,NA,"UCIAMS - 65717",NA,NA,NA,"Pie de Gigante core 1_SIEVED","counted","NaN-150",NA,NA,"",475,NA,NA,NA,NA,NA,NA,". Cal curve: NA. Source DB: RPDv1b","","Carbon-14",NA,-64.01,2174.76,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: GCDv4|RPDv1b","Sample Age Source: GCDv4"
"493",31,"charcoal | <150um num",NA,124,NA,NA,192.33,NA,NA,"GCDv4","Charcoal (sum)","<150 µm",NA,150,"True","False","number","Macroscopic charcoal (sieved)","direct",NA,"CHAR",40,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",835,"charcoal","count","unspec","wet_sieve","particle","<150um num",NA,"<150um","num","RPDv1b","measured",2,"GCDv4|RPDv1b",NA,"Pie de Gigante core 1",11.38,-86.03,NA,"north",NA,NA,"unspec",445,1,2005,"Hope, G.S., Macphail, M., Keaney, B., 2005. Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory. Unpublished report to Environment ACT and Ecowise Services.","Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory","Unpublished report to Environment ACT and Ecowise Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:760",493,"RPDv1b",835,5176,2,2,"cm",NA,"AMS",-777777,475,20,NA,NA,"UCIAMS - 65717",NA,NA,NA,"Pie de Gigante core 1_SIEVED","counted","NaN-150",NA,NA,"",475,NA,NA,NA,NA,NA,NA,". Cal curve: NA. Source DB: RPDv1b","","Carbon-14",NA,-64.01,2174.76,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: GCDv4|RPDv1b","Sample Age Source: GCDv4"
"493",32,"charcoal | <150um num",NA,128,NA,NA,209.27,NA,NA,"GCDv4","Charcoal (sum)","<150 µm",NA,150,"True","False","number","Macroscopic charcoal (sieved)","direct",NA,"CHAR",65,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",835,"charcoal","count","unspec","wet_sieve","particle","<150um num",NA,"<150um","num","RPDv1b","measured",2,"GCDv4|RPDv1b",NA,"Pie de Gigante core 1",11.38,-86.03,NA,"north",NA,NA,"unspec",445,1,2005,"Hope, G.S., Macphail, M., Keaney, B., 2005. Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory. Unpublished report to Environment ACT and Ecowise Services.","Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory","Unpublished report to Environment ACT and Ecowise Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:760",493,"RPDv1b",835,5176,2,2,"cm",NA,"AMS",-777777,475,20,NA,NA,"UCIAMS - 65717",NA,NA,NA,"Pie de Gigante core 1_SIEVED","counted","NaN-150",NA,NA,"",475,NA,NA,NA,NA,NA,NA,". Cal curve: NA. Source DB: RPDv1b","","Carbon-14",NA,-64.01,2174.76,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: GCDv4|RPDv1b","Sample Age Source: GCDv4"
"493",33,"charcoal | <150um num",NA,130,NA,NA,218.04,NA,NA,"GCDv4","Charcoal (sum)","<150 µm",NA,150,"True","False","number","Macroscopic charcoal (sieved)","direct",NA,"CHAR",10,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",835,"charcoal","count","unspec","wet_sieve","particle","<150um num",NA,"<150um","num","RPDv1b","measured",2,"GCDv4|RPDv1b",NA,"Pie de Gigante core 1",11.38,-86.03,NA,"north",NA,NA,"unspec",445,1,2005,"Hope, G.S., Macphail, M., Keaney, B., 2005. Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory. Unpublished report to Environment ACT and Ecowise Services.","Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory","Unpublished report to Environment ACT and Ecowise Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:760",493,"RPDv1b",835,5177,0,0,"cm",NA,"-777777",-777777,NA,0,0,NA,"no_lab_num",NA,NA,NA,"Pie de Gigante core 1_SIEVED","counted","NaN-150",NA,NA,"",0,NA,NA,NA,NA,NA,NA,". Cal curve: NA. Source DB: RPDv1b","","",NA,-64.01,2174.76,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: GCDv4|RPDv1b","Sample Age Source: GCDv4"
"493",34,"charcoal | <150um num",NA,136,NA,NA,245.59,NA,NA,"GCDv4","Charcoal (sum)","<150 µm",NA,150,"True","False","number","Macroscopic charcoal (sieved)","direct",NA,"CHAR",50,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",835,"charcoal","count","unspec","wet_sieve","particle","<150um num",NA,"<150um","num","RPDv1b","measured",2,"GCDv4|RPDv1b",NA,"Pie de Gigante core 1",11.38,-86.03,NA,"north",NA,NA,"unspec",445,1,2005,"Hope, G.S., Macphail, M., Keaney, B., 2005. Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory. Unpublished report to Environment ACT and Ecowise Services.","Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory","Unpublished report to Environment ACT and Ecowise Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:760",493,"RPDv1b",835,5177,0,0,"cm",NA,"-777777",-777777,NA,0,0,NA,"no_lab_num",NA,NA,NA,"Pie de Gigante core 1_SIEVED","counted","NaN-150",NA,NA,"",0,NA,NA,NA,NA,NA,NA,". Cal curve: NA. Source DB: RPDv1b","","",NA,-64.01,2174.76,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: GCDv4|RPDv1b","Sample Age Source: GCDv4"
"493",35,"charcoal | <150um num",NA,138,NA,NA,255.19,NA,NA,"GCDv4","Charcoal (sum)","<150 µm",NA,150,"True","False","number","Macroscopic charcoal (sieved)","direct",NA,"CHAR",5,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",835,"charcoal","count","unspec","wet_sieve","particle","<150um num",NA,"<150um","num","RPDv1b","measured",2,"GCDv4|RPDv1b",NA,"Pie de Gigante core 1",11.38,-86.03,NA,"north",NA,NA,"unspec",445,1,2005,"Hope, G.S., Macphail, M., Keaney, B., 2005. Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory. Unpublished report to Environment ACT and Ecowise Services.","Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory","Unpublished report to Environment ACT and Ecowise Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:760",493,"RPDv1b",835,5177,0,0,"cm",NA,"-777777",-777777,NA,0,0,NA,"no_lab_num",NA,NA,NA,"Pie de Gigante core 1_SIEVED","counted","NaN-150",NA,NA,"",0,NA,NA,NA,NA,NA,NA,". Cal curve: NA. Source DB: RPDv1b","","",NA,-64.01,2174.76,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: GCDv4|RPDv1b","Sample Age Source: GCDv4"
"493",36,"charcoal | <150um num",NA,142,NA,NA,275.06,NA,NA,"GCDv4","Charcoal (sum)","<150 µm",NA,150,"True","False","number","Macroscopic charcoal (sieved)","direct",NA,"CHAR",15,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",835,"charcoal","count","unspec","wet_sieve","particle","<150um num",NA,"<150um","num","RPDv1b","measured",2,"GCDv4|RPDv1b",NA,"Pie de Gigante core 1",11.38,-86.03,NA,"north",NA,NA,"unspec",445,1,2005,"Hope, G.S., Macphail, M., Keaney, B., 2005. Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory. Unpublished report to Environment ACT and Ecowise Services.","Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory","Unpublished report to Environment ACT and Ecowise Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:760",493,"RPDv1b",835,5177,0,0,"cm",NA,"-777777",-777777,NA,0,0,NA,"no_lab_num",NA,NA,NA,"Pie de Gigante core 1_SIEVED","counted","NaN-150",NA,NA,"",0,NA,NA,NA,NA,NA,NA,". Cal curve: NA. Source DB: RPDv1b","","",NA,-64.01,2174.76,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: GCDv4|RPDv1b","Sample Age Source: GCDv4"
"493",37,"charcoal | <150um num",NA,146,NA,NA,295.83,NA,NA,"GCDv4","Charcoal (sum)","<150 µm",NA,150,"True","False","number","Macroscopic charcoal (sieved)","direct",NA,"CHAR",15,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",835,"charcoal","count","unspec","wet_sieve","particle","<150um num",NA,"<150um","num","RPDv1b","measured",2,"GCDv4|RPDv1b",NA,"Pie de Gigante core 1",11.38,-86.03,NA,"north",NA,NA,"unspec",445,1,2005,"Hope, G.S., Macphail, M., Keaney, B., 2005. Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory. Unpublished report to Environment ACT and Ecowise Services.","Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory","Unpublished report to Environment ACT and Ecowise Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:760",493,"RPDv1b",835,5177,0,0,"cm",NA,"-777777",-777777,NA,0,0,NA,"no_lab_num",NA,NA,NA,"Pie de Gigante core 1_SIEVED","counted","NaN-150",NA,NA,"",0,NA,NA,NA,NA,NA,NA,". Cal curve: NA. Source DB: RPDv1b","","",NA,-64.01,2174.76,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: GCDv4|RPDv1b","Sample Age Source: GCDv4"
"493",38,"charcoal | <150um num",NA,148,NA,NA,306.55,NA,NA,"GCDv4","Charcoal (sum)","<150 µm",NA,150,"True","False","number","Macroscopic charcoal (sieved)","direct",NA,"CHAR",10,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",835,"charcoal","count","unspec","wet_sieve","particle","<150um num",NA,"<150um","num","RPDv1b","measured",2,"GCDv4|RPDv1b",NA,"Pie de Gigante core 1",11.38,-86.03,NA,"north",NA,NA,"unspec",445,1,2005,"Hope, G.S., Macphail, M., Keaney, B., 2005. Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory. Unpublished report to Environment ACT and Ecowise Services.","Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory","Unpublished report to Environment ACT and Ecowise Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:760",493,"RPDv1b",835,5177,0,0,"cm",NA,"-777777",-777777,NA,0,0,NA,"no_lab_num",NA,NA,NA,"Pie de Gigante core 1_SIEVED","counted","NaN-150",NA,NA,"",0,NA,NA,NA,NA,NA,NA,". Cal curve: NA. Source DB: RPDv1b","","",NA,-64.01,2174.76,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: GCDv4|RPDv1b","Sample Age Source: GCDv4"
"493",39,"charcoal | <150um num",NA,152,NA,NA,328.71,NA,NA,"GCDv4","Charcoal (sum)","<150 µm",NA,150,"True","False","number","Macroscopic charcoal (sieved)","direct",NA,"CHAR",30,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",835,"charcoal","count","unspec","wet_sieve","particle","<150um num",NA,"<150um","num","RPDv1b","measured",2,"GCDv4|RPDv1b",NA,"Pie de Gigante core 1",11.38,-86.03,NA,"north",NA,NA,"unspec",445,1,2005,"Hope, G.S., Macphail, M., Keaney, B., 2005. Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory. Unpublished report to Environment ACT and Ecowise Services.","Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory","Unpublished report to Environment ACT and Ecowise Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:760",493,"RPDv1b",835,5177,0,0,"cm",NA,"-777777",-777777,NA,0,0,NA,"no_lab_num",NA,NA,NA,"Pie de Gigante core 1_SIEVED","counted","NaN-150",NA,NA,"",0,NA,NA,NA,NA,NA,NA,". Cal curve: NA. Source DB: RPDv1b","","",NA,-64.01,2174.76,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: GCDv4|RPDv1b","Sample Age Source: GCDv4"
"493",40,"charcoal | <150um num",NA,154,NA,NA,340.14,NA,NA,"GCDv4","Charcoal (sum)","<150 µm",NA,150,"True","False","number","Macroscopic charcoal (sieved)","direct",NA,"CHAR",40,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",835,"charcoal","count","unspec","wet_sieve","particle","<150um num",NA,"<150um","num","RPDv1b","measured",2,"GCDv4|RPDv1b",NA,"Pie de Gigante core 1",11.38,-86.03,NA,"north",NA,NA,"unspec",445,1,2005,"Hope, G.S., Macphail, M., Keaney, B., 2005. Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory. Unpublished report to Environment ACT and Ecowise Services.","Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory","Unpublished report to Environment ACT and Ecowise Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:760",493,"RPDv1b",835,5177,0,0,"cm",NA,"-777777",-777777,NA,0,0,NA,"no_lab_num",NA,NA,NA,"Pie de Gigante core 1_SIEVED","counted","NaN-150",NA,NA,"",0,NA,NA,NA,NA,NA,NA,". Cal curve: NA. Source DB: RPDv1b","","",NA,-64.01,2174.76,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: GCDv4|RPDv1b","Sample Age Source: GCDv4"
"493",41,"charcoal | <150um num",NA,158,NA,NA,363.74,NA,NA,"GCDv4","Charcoal (sum)","<150 µm",NA,150,"True","False","number","Macroscopic charcoal (sieved)","direct",NA,"CHAR",25,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",835,"charcoal","count","unspec","wet_sieve","particle","<150um num",NA,"<150um","num","RPDv1b","measured",2,"GCDv4|RPDv1b",NA,"Pie de Gigante core 1",11.38,-86.03,NA,"north",NA,NA,"unspec",445,1,2005,"Hope, G.S., Macphail, M., Keaney, B., 2005. Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory. Unpublished report to Environment ACT and Ecowise Services.","Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory","Unpublished report to Environment ACT and Ecowise Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:760",493,"RPDv1b",835,5177,0,0,"cm",NA,"-777777",-777777,NA,0,0,NA,"no_lab_num",NA,NA,NA,"Pie de Gigante core 1_SIEVED","counted","NaN-150",NA,NA,"",0,NA,NA,NA,NA,NA,NA,". Cal curve: NA. Source DB: RPDv1b","","",NA,-64.01,2174.76,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: GCDv4|RPDv1b","Sample Age Source: GCDv4"
"493",42,"charcoal | <150um num",NA,160,NA,NA,375.91,NA,NA,"GCDv4","Charcoal (sum)","<150 µm",NA,150,"True","False","number","Macroscopic charcoal (sieved)","direct",NA,"CHAR",20,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",835,"charcoal","count","unspec","wet_sieve","particle","<150um num",NA,"<150um","num","RPDv1b","measured",2,"GCDv4|RPDv1b",NA,"Pie de Gigante core 1",11.38,-86.03,NA,"north",NA,NA,"unspec",445,1,2005,"Hope, G.S., Macphail, M., Keaney, B., 2005. Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory. Unpublished report to Environment ACT and Ecowise Services.","Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory","Unpublished report to Environment ACT and Ecowise Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:760",493,"RPDv1b",835,5177,0,0,"cm",NA,"-777777",-777777,NA,0,0,NA,"no_lab_num",NA,NA,NA,"Pie de Gigante core 1_SIEVED","counted","NaN-150",NA,NA,"",0,NA,NA,NA,NA,NA,NA,". Cal curve: NA. Source DB: RPDv1b","","",NA,-64.01,2174.76,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: GCDv4|RPDv1b","Sample Age Source: GCDv4"
"493",43,"charcoal | <150um num",NA,166,NA,NA,413.95,NA,NA,"GCDv4","Charcoal (sum)","<150 µm",NA,150,"True","False","number","Macroscopic charcoal (sieved)","direct",NA,"CHAR",35,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",835,"charcoal","count","unspec","wet_sieve","particle","<150um num",NA,"<150um","num","RPDv1b","measured",2,"GCDv4|RPDv1b",NA,"Pie de Gigante core 1",11.38,-86.03,NA,"north",NA,NA,"unspec",445,1,2005,"Hope, G.S., Macphail, M., Keaney, B., 2005. Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory. Unpublished report to Environment ACT and Ecowise Services.","Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory","Unpublished report to Environment ACT and Ecowise Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:760",493,"RPDv1b",835,5177,0,0,"cm",NA,"-777777",-777777,NA,0,0,NA,"no_lab_num",NA,NA,NA,"Pie de Gigante core 1_SIEVED","counted","NaN-150",NA,NA,"",0,NA,NA,NA,NA,NA,NA,". Cal curve: NA. Source DB: RPDv1b","","",NA,-64.01,2174.76,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: GCDv4|RPDv1b","Sample Age Source: GCDv4"
"493",44,"charcoal | <150um num",NA,170,NA,NA,440.61,NA,NA,"GCDv4","Charcoal (sum)","<150 µm",NA,150,"True","False","number","Macroscopic charcoal (sieved)","direct",NA,"CHAR",40,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",835,"charcoal","count","unspec","wet_sieve","particle","<150um num",NA,"<150um","num","RPDv1b","measured",2,"GCDv4|RPDv1b",NA,"Pie de Gigante core 1",11.38,-86.03,NA,"north",NA,NA,"unspec",445,1,2005,"Hope, G.S., Macphail, M., Keaney, B., 2005. Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory. Unpublished report to Environment ACT and Ecowise Services.","Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory","Unpublished report to Environment ACT and Ecowise Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:760",493,"RPDv1b",835,5177,0,0,"cm",NA,"-777777",-777777,NA,0,0,NA,"no_lab_num",NA,NA,NA,"Pie de Gigante core 1_SIEVED","counted","NaN-150",NA,NA,"",0,NA,NA,NA,NA,NA,NA,". Cal curve: NA. Source DB: RPDv1b","","",NA,-64.01,2174.76,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: GCDv4|RPDv1b","Sample Age Source: GCDv4"
"493",45,"charcoal | <150um num",NA,172,NA,NA,454.33,NA,NA,"GCDv4","Charcoal (sum)","<150 µm",NA,150,"True","False","number","Macroscopic charcoal (sieved)","direct",NA,"CHAR",10,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",835,"charcoal","count","unspec","wet_sieve","particle","<150um num",NA,"<150um","num","RPDv1b","measured",2,"GCDv4|RPDv1b",NA,"Pie de Gigante core 1",11.38,-86.03,NA,"north",NA,NA,"unspec",445,1,2005,"Hope, G.S., Macphail, M., Keaney, B., 2005. Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory. Unpublished report to Environment ACT and Ecowise Services.","Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory","Unpublished report to Environment ACT and Ecowise Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:760",493,"RPDv1b",835,5177,0,0,"cm",NA,"-777777",-777777,NA,0,0,NA,"no_lab_num",NA,NA,NA,"Pie de Gigante core 1_SIEVED","counted","NaN-150",NA,NA,"",0,NA,NA,NA,NA,NA,NA,". Cal curve: NA. Source DB: RPDv1b","","",NA,-64.01,2174.76,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: GCDv4|RPDv1b","Sample Age Source: GCDv4"
"493",46,"charcoal | <150um num",NA,178,NA,NA,496.98,NA,NA,"GCDv4","Charcoal (sum)","<150 µm",NA,150,"True","False","number","Macroscopic charcoal (sieved)","direct",NA,"CHAR",0,NA,NA,"quant_raw",NA,"","","RPDv1b",835,"charcoal","count","unspec","wet_sieve","particle","<150um num",NA,"<150um","num","RPDv1b","measured",2,"GCDv4|RPDv1b",NA,"Pie de Gigante core 1",11.38,-86.03,NA,"north",NA,NA,"unspec",445,1,2005,"Hope, G.S., Macphail, M., Keaney, B., 2005. Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory. Unpublished report to Environment ACT and Ecowise Services.","Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory","Unpublished report to Environment ACT and Ecowise Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:760",493,"RPDv1b",835,5177,0,0,"cm",NA,"-777777",-777777,NA,0,0,NA,"no_lab_num",NA,NA,NA,"Pie de Gigante core 1_SIEVED","counted","NaN-150",NA,NA,"",0,NA,NA,NA,NA,NA,NA,". Cal curve: NA. Source DB: RPDv1b","","",NA,-64.01,2174.76,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: GCDv4|RPDv1b","Sample Age Source: GCDv4"
"493",47,"charcoal | <150um num",NA,180,NA,NA,511.68,NA,NA,"GCDv4","Charcoal (sum)","<150 µm",NA,150,"True","False","number","Macroscopic charcoal (sieved)","direct",NA,"CHAR",35,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",835,"charcoal","count","unspec","wet_sieve","particle","<150um num",NA,"<150um","num","RPDv1b","measured",2,"GCDv4|RPDv1b",NA,"Pie de Gigante core 1",11.38,-86.03,NA,"north",NA,NA,"unspec",445,1,2005,"Hope, G.S., Macphail, M., Keaney, B., 2005. Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory. Unpublished report to Environment ACT and Ecowise Services.","Snowy Flat and Ginini Bogs, Brindabella Range, Australian Capital Territory","Unpublished report to Environment ACT and Ecowise Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:760",493,"RPDv1b",835,5177,0,0,"cm",NA,"-777777",-777777,NA,0,0,NA,"no_lab_num",NA,NA,NA,"Pie de Gigante core 1_SIEVED","counted","NaN-150",NA,NA,"",0,NA,NA,NA,NA,NA,NA,". Cal curve: NA. Source DB: RPDv1b","","",NA,-64.01,2174.76,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: GCDv4|RPDv1b","Sample Age Source: GCDv4"
